subject,sender,body,label
Your application has been submitted,Cloudflare Careers <careers@cloudflare.com>,Your application for Software Engineering Intern was successfully submitted.,APPLIED
Your offer for Machine Learning Engineer,no-reply@meta.com,We would be thrilled to have you join our team as a Machine Learning Engineer.,OFFER
Interview advice from the Glassdoor community,Glassdoor Community <noreply@glassdoor.com>,Read what other candidates say about interview experiences at popular companies.,OTHER
Uber application confirmation,no-reply@uber.com,Your application for Machine Learning Engineer was successfully submitted.,APPLIED
Your Parking Receipt,donotreply@parking.com,Thank you for purchasing parking using our application. Below are your parking session details.,OTHER
Status of your application,Datadog Careers <careers@datadog.com>,We have selected candidates whose qualifications more closely match our current needs.,REJECTED
Technical interview invitation,Google Talent Acquisition <jobs@google.com>,Please select a time for your phone screen regarding the Frontend Engineer role.,INTERVIEW
A third-party OAuth application was added,GitHub <noreply@github.com>,An OAuth application was recently authorized to access your account.,OTHER
Next steps for your application,Datadog Recruiting <recruiting@datadog.com>,Your application has progressed and we would like to schedule a technical interview.,INTERVIEW
Update for Data Scientist,Bloomberg Recruiting <recruiting@bloomberg.com>,"Although your background is impressive, we have decided to continue the process with other candidates.",REJECTED
Your Parking Receipt,donotreply@parking.com,Thank you for purchasing parking using our application. Below are your parking session details.,OTHER
Regarding your application,Cloudflare Careers <careers@cloudflare.com>,We have selected candidates whose qualifications more closely match our current needs.,REJECTED
We Received Your FAFSA Form,U.S. Department of Education <donotreply@studentaid.gov>,Log in to your account to see your status and next steps.,OTHER
We received your application,Adobe Careers <careers@adobe.com>,We have received your application for the Frontend Engineer position.,APPLIED
Stay Connected for Future Career Opportunities,Salesforce Careers <careers@salesforce.com>,We would like to keep your information on file for future opportunities.,OTHER
Your financial aid application was received,Student Aid <donotreply@studentaid.gov>,Your application has been received. Review your account for next steps.,OTHER
Offer Letter - Salesforce,Salesforce Recruiting <recruiting@salesforce.com>,Your compensation package and proposed start date are included for your review.,OFFER
Your application has been submitted,no-reply@capitalone.com,This message confirms that we received your application for Data Scientist.,APPLIED
A third-party OAuth application was added,GitHub <noreply@github.com>,An OAuth application was recently authorized to access your account.,OTHER
Thank you for applying to Google,no-reply@google.com,Your materials have been received and will be reviewed by our recruiting team.,APPLIED
Status of your application,Salesforce Recruiting <recruiting@salesforce.com>,We have selected candidates whose qualifications more closely match our current needs.,REJECTED
Your financial aid application was received,Student Aid <donotreply@studentaid.gov>,Your application has been received. Review your account for next steps.,OTHER
Palantir interview scheduling,Palantir Recruiting <recruiting@palantir.com>,Please select a time for your phone screen regarding the Data Analyst role.,INTERVIEW
Career Insights Newsletter,Uber Talent Acquisition <careers@uber.com>,Thank you for being part of our talent community. Read employee stories and company news.,OTHER
Your application has been submitted,Amazon Talent Acquisition <jobs@amazon.com>,Thank you for your interest in Amazon. Your information has been submitted to the hiring team.,APPLIED
Welcome to our talent community,Google Talent Network <talent@google.com>,Thanks for joining our talent network. We will share future opportunities.,OTHER
Your package has shipped,Amazon <shipment-tracking@amazon.com>,Your package will arrive tomorrow.,OTHER
New jobs: Software Engineer Intern and 7 more jobs,Wellfound <team@hi.wellfound.com>,I've found 8 new jobs that might interest you. Ready to Interview Open to offers Closed to Offers.,OTHER
Update for Data Analyst,no-reply@datadog.com,"While we were impressed by your experience, we have decided to pursue other applicants.",REJECTED
Application update,Datadog Talent Acquisition <jobs@datadog.com>,We have selected candidates whose qualifications more closely match our current needs.,REJECTED
Regarding your application,no-reply@palantir.com,At this time we are closing your candidacy for the Backend Engineer opportunity.,REJECTED
Offer details,Capital One Talent Acquisition <jobs@capitalone.com>,Congratulations. We would like to offer you a position on our team.,OFFER
Your application has been submitted,Google Recruiting <recruiting@google.com>,Thank you for your interest in Google. Your information has been submitted to the hiring team.,APPLIED
Cloudflare hiring update,no-reply@cloudflare.com,We will not be moving forward with your candidacy at this time.,REJECTED
We received your application,Airbnb Recruiting <recruiting@airbnb.com>,Your submission for Machine Learning Engineer is complete and no further action is required.,APPLIED
Status of your application,Uber Talent Acquisition <jobs@uber.com>,"Unfortunately, we have decided not to move forward with your application.",REJECTED
Palantir application confirmation,Palantir Talent Acquisition <jobs@palantir.com>,We appreciate your interest in Palantir. Your application is now under review.,APPLIED
Update for Full Stack Engineer,no-reply@airbnb.com,We will not be moving forward with your candidacy at this time.,REJECTED
Adobe application confirmation,Adobe Careers <careers@adobe.com>,Your application is currently being reviewed. We will contact you if your experience matches our needs.,APPLIED
Status of your application,Salesforce Talent Acquisition <jobs@salesforce.com>,At this time we are closing your candidacy for the Software Engineer opportunity.,REJECTED
Upcoming career fair,University Career Center <careercenter@example.edu>,Join us for this week's employer networking event.,OTHER
Interview invitation - Data Scientist,Netflix Careers <careers@netflix.com>,We enjoyed reviewing your background and would like to continue the process with a conversation.,INTERVIEW
New jobs: Software Engineer Intern and 7 more jobs,Wellfound <team@hi.wellfound.com>,I've found 8 new jobs that might interest you. Ready to Interview Open to offers Closed to Offers.,OTHER
Application update,Netflix Recruiting <recruiting@netflix.com>,At this time we are closing your candidacy for the Machine Learning Engineer opportunity.,REJECTED
Phone screen availability,Adobe Talent Acquisition <jobs@adobe.com>,We would like to invite you to the next round of interviews.,INTERVIEW
Next steps for your application,Amazon Talent Acquisition <jobs@amazon.com>,We would like to schedule an interview for the Full Stack Engineer position.,INTERVIEW
Password reset request,GitHub <noreply@github.com>,Use this link to reset your password.,OTHER
I countered a job offer today,Glassdoor Community <noreply@glassdoor.com>,"Explore real conversations from workers discussing job offers, interviews and compensation.",OTHER
Your package has shipped,Amazon <shipment-tracking@amazon.com>,Your package will arrive tomorrow.,OTHER
Phone screen availability,Salesforce Recruiting <recruiting@salesforce.com>,We enjoyed reviewing your background and would like to continue the process with a conversation.,INTERVIEW
Offer details,Bloomberg Careers <careers@bloomberg.com>,Congratulations on completing our interview process. We would like you to join us as a Data Scientist.,OFFER
Congratulations from Cloudflare,Cloudflare Recruiting <recruiting@cloudflare.com>,Congratulations on completing our interview process. We would like you to join us as a Systems Engineer.,OFFER
Employment offer,Bloomberg Careers <careers@bloomberg.com>,We are pleased to offer you the Software Engineer position at Bloomberg.,OFFER
Cloudflare interview scheduling,Cloudflare Recruiting <recruiting@cloudflare.com>,Please send us your availability for a conversation with the hiring team.,INTERVIEW
Technical interview invitation,Google Careers <careers@google.com>,Please use the scheduling link below to select a time to meet with our engineering team.,INTERVIEW
Your offer for Data Analyst,Stripe Talent Acquisition <jobs@stripe.com>,We are happy to offer you the opportunity to join Stripe.,OFFER
Technical interview invitation,no-reply@salesforce.com,Your candidacy is moving forward and we'd like to arrange a conversation with the hiring manager.,INTERVIEW
Password reset request,GitHub <noreply@github.com>,Use this link to reset your password.,OTHER
We received your application,Airbnb Careers <careers@airbnb.com>,Your application is currently being reviewed. We will contact you if your experience matches our needs.,APPLIED
Stripe hiring update,Stripe Recruiting <recruiting@stripe.com>,"Thank you for your interest in Stripe, but we are unable to offer you the position.",REJECTED
Phone screen availability,no-reply@datadog.com,Your application has progressed and we would like to schedule a technical interview.,INTERVIEW
Application received - Software Engineering Intern,Datadog Careers <careers@datadog.com>,Your submission for Software Engineering Intern is complete and no further action is required.,APPLIED
Congratulations from Airbnb,Airbnb Talent Acquisition <jobs@airbnb.com>,We are excited to extend an offer for the Machine Learning Engineer role.,OFFER
Weekly job recommendations,LinkedIn Jobs <jobs-noreply@linkedin.com>,Here are new jobs that match your profile.,OTHER
Explore careers at Netflix,Netflix Careers <careers@netflix.com>,Learn more about our open roles and engineering teams.,OTHER
Password reset request,GitHub <noreply@github.com>,Use this link to reset your password.,OTHER
Offer details,no-reply@bloomberg.com,We would be thrilled to have you join our team as a Machine Learning Engineer.,OFFER
Thank you for applying to Meta,Meta Recruiting <recruiting@meta.com>,Your materials have been received and will be reviewed by our recruiting team.,APPLIED
Regarding your application,Uber Careers <careers@uber.com>,"After careful consideration, you were not selected for the Backend Engineer role.",REJECTED
Employment offer,Amazon Careers <careers@amazon.com>,We are happy to offer you the opportunity to join Amazon.,OFFER
Application received - Product Analyst,Cloudflare Recruiting <recruiting@cloudflare.com>,Your application is currently being reviewed. We will contact you if your experience matches our needs.,APPLIED
We Received Your FAFSA Form,U.S. Department of Education <donotreply@studentaid.gov>,Log in to your account to see your status and next steps.,OTHER
Interview advice from the Glassdoor community,Glassdoor Community <noreply@glassdoor.com>,Read what other candidates say about interview experiences at popular companies.,OTHER
Welcome to our talent community,Airbnb Talent Network <talent@airbnb.com>,Thanks for joining our talent network. We will share future opportunities.,OTHER
Netflix hiring update,no-reply@netflix.com,"After careful consideration, you were not selected for the Full Stack Engineer role.",REJECTED
Recruiter recently posted,LinkedIn <updates-noreply@linkedin.com>,A recruiter you follow recently posted about an open engineering role.,OTHER
Your financial aid application was received,Student Aid <donotreply@studentaid.gov>,Your application has been received. Review your account for next steps.,OTHER
New jobs: Software Engineer Intern and 7 more jobs,Wellfound <team@hi.wellfound.com>,I've found 8 new jobs that might interest you. Ready to Interview Open to offers Closed to Offers.,OTHER
Application update,Airbnb Recruiting <recruiting@airbnb.com>,"While we were impressed by your experience, we have decided to pursue other applicants.",REJECTED
Status of your application,Airbnb Talent Acquisition <jobs@airbnb.com>,We have chosen to proceed with other candidates.,REJECTED
Recruiter recently posted,LinkedIn <updates-noreply@linkedin.com>,A recruiter you follow recently posted about an open engineering role.,OTHER
Application received - Software Engineer,Amazon Recruiting <recruiting@amazon.com>,We have received your application for the Software Engineer position.,APPLIED
Your application has been submitted,Netflix Recruiting <recruiting@netflix.com>,Thank you for applying for the Product Analyst role at Netflix.,APPLIED
Recruiter recently posted,LinkedIn <updates-noreply@linkedin.com>,A recruiter you follow recently posted about an open engineering role.,OTHER
Upcoming career fair,University Career Center <careercenter@example.edu>,Join us for this week's employer networking event.,OTHER
Capital One interview scheduling,Capital One Recruiting <recruiting@capitalone.com>,The hiring manager would like to speak with you about your experience.,INTERVIEW
Your application has been submitted,Uber Talent Acquisition <jobs@uber.com>,Thank you for applying for the Product Analyst role at Uber.,APPLIED
Application received - Machine Learning Engineer,Uber Careers <careers@uber.com>,Thank you for your interest in Uber. Your information has been submitted to the hiring team.,APPLIED
Weekly job recommendations,LinkedIn Jobs <jobs-noreply@linkedin.com>,Here are new jobs that match your profile.,OTHER
Recruiter recently posted,LinkedIn <updates-noreply@linkedin.com>,A recruiter you follow recently posted about an open engineering role.,OTHER
Employment offer,Meta Recruiting <recruiting@meta.com>,Congratulations on completing our interview process. We would like you to join us as a Software Engineering Intern.,OFFER
Offer Letter - Microsoft,Microsoft Careers <careers@microsoft.com>,We are happy to offer you the opportunity to join Microsoft.,OFFER
Amazon hiring update,Amazon Talent Acquisition <jobs@amazon.com>,"After careful consideration, you were not selected for the Data Analyst role.",REJECTED
Interview invitation - Frontend Engineer,Google Talent Acquisition <jobs@google.com>,We would like you to speak with several members of the team as the next step.,INTERVIEW
Congratulations from Google,no-reply@google.com,We are excited to extend an offer for the Full Stack Engineer role.,OFFER
Update for Frontend Engineer,Uber Talent Acquisition <jobs@uber.com>,We will not be moving forward with your candidacy at this time.,REJECTED
Update for Machine Learning Engineer,Uber Recruiting <recruiting@uber.com>,At this time we are closing your candidacy for the Machine Learning Engineer opportunity.,REJECTED
Status of your application,no-reply@stripe.com,"Unfortunately, we have decided not to move forward with your application.",REJECTED
Technical interview invitation,no-reply@salesforce.com,We would like to invite you to the next round of interviews.,INTERVIEW
A third-party OAuth application was added,GitHub <noreply@github.com>,An OAuth application was recently authorized to access your account.,OTHER
Palantir application confirmation,Palantir Recruiting <recruiting@palantir.com>,Thank you for applying for the Data Scientist role at Palantir.,APPLIED
Application received - Frontend Engineer,no-reply@airbnb.com,Your submission for Frontend Engineer is complete and no further action is required.,APPLIED
A third-party OAuth application was added,GitHub <noreply@github.com>,An OAuth application was recently authorized to access your account.,OTHER
Salesforce interview scheduling,Salesforce Careers <careers@salesforce.com>,Please select a time for your phone screen regarding the Frontend Engineer role.,INTERVIEW
We received your application,Uber Careers <careers@uber.com>,This message confirms that we received your application for Machine Learning Engineer.,APPLIED
Status of your application,no-reply@adobe.com,"While we were impressed by your experience, we have decided to pursue other applicants.",REJECTED
Your Parking Receipt,donotreply@parking.com,Thank you for purchasing parking using our application. Below are your parking session details.,OTHER
Upcoming career fair,University Career Center <careercenter@example.edu>,Join us for this week's employer networking event.,OTHER
Adobe interview scheduling,Adobe Recruiting <recruiting@adobe.com>,Please send us your availability for a conversation with the hiring team.,INTERVIEW
Recruiter recently posted,LinkedIn <updates-noreply@linkedin.com>,A recruiter you follow recently posted about an open engineering role.,OTHER
We received your application,Google Recruiting <recruiting@google.com>,Your application is currently being reviewed. We will contact you if your experience matches our needs.,APPLIED
Congratulations from Amazon,no-reply@amazon.com,We are happy to offer you the opportunity to join Amazon.,OFFER
Your offer for Systems Engineer,Netflix Talent Acquisition <jobs@netflix.com>,We are pleased to offer you the Systems Engineer position at Netflix.,OFFER
Congratulations from Datadog,Datadog Careers <careers@datadog.com>,We would be thrilled to have you join our team as a Frontend Engineer.,OFFER
Congratulations from Amazon,Amazon Recruiting <recruiting@amazon.com>,Your compensation package and proposed start date are included for your review.,OFFER
Next steps for your application,Cloudflare Talent Acquisition <jobs@cloudflare.com>,We would like to schedule an interview for the Systems Engineer position.,INTERVIEW
Thank you for applying to Google,Google Careers <careers@google.com>,Your application is currently being reviewed. We will contact you if your experience matches our needs.,APPLIED
